StudyDescription	Modality	platform	frequency
TX AS	CT, nan	IDC,TCIA	36
MG. Mammo Digital Screening Bilateral	MG	ACRdart,IDC	36
CT ABD PELVIS(WITH CHEST IMAGES) WO IV CON	CT, nan	IDC,TCIA,MIDRC	36
PET IMAGE W/CT, SKULL-	SEG, PT, nan	IDC,TCIA	36
CT THORAX WO IV CONTRA	CT, SEG, nan	IDC,TCIA	36
FDG PET CT Clinical Wh	SEG, nan	IDC,TCIA	36
WB PET/CT	CT, SEG, PT, nan	IDC,TCIA	36
CT ANGIO ABD AND PEL WWO IV CONT	CT, nan	IDC,TCIA,MIDRC	36
Thorax^DE_CHEST_PE (Adult)	CT	MIDRC	36
abdomen__w_and_wo	SEG, nan	IDC,TCIA	36
TOMOSYNTHESIS MAMMO DIGITAL SCREENING BILATERAL	MG	ACRdart,IDC	36
Abdomen^7MCV_VIRTUAL_COLONOSCOPY	CT, nan	IDC,TCIA	36
PET/CT WHOLE BODY	CT, SEG, PT, nan	IDC,TCIA	36
MR prostaat detectie PCMAPS_mc MCAPCMAPS	MR, SEG, nan	IDC,TCIA	36
MAM MAMMOGRAPHY SCREENING WITH TOMOSYNTHESIS BILATERAL	MG	ACRdart,IDC	35
BREAST	US, MR, SEG, nan	IDC,TCIA,ACRdart	35
CT CHEST W/O	CT, SEG, nan	IDC,TCIA,MIDRC	35
CT, ABDOMEN W&W/O CONT	CT, SEG, nan	IDC,TCIA	34
BREAST^EA1141 RESEARCH STUDY	MR	ACRdart,IDC	34
Thorax^CT_CHEST_WITH (Adult)	CT	MIDRC	34
CT ABDOMEN AND PELVIS	RTSTRUCT, CT, SEG, nan	IDC,TCIA,MIDRC	34
MRM/6667	MR, nan	IDC,TCIA	34
CT ABDOMEN & PELVIS ENHANCED=AB	RTSTRUCT, CT, nan	IDC,TCIA	34
X-RAY ABDOMEN SINGLE VIEW	CR, DX	MIDRC	34
CT LEVEL CHEST ABDOMEN PELVIS W ED	CT	MIDRC	34
CT AB/PEL W/ CONTRAST	CT, SEG, nan	IDC,TCIA	34
CT ABD PELVIS(WITH CHEST IMAGES) W IV CON	CT, nan	IDC,TCIA,MIDRC	33
Vascular^CTA_HEAD_NECK (Adult)	CT	MIDRC	33
MR BREAST BILATERAL W/WO CONT	nan	TCIA	33
CT Angio Pulmonary	CT	MIDRC	33
ABD SERIES FLAT AND ERECT PORTABLE	CR, DX, nan	IDC,TCIA,MIDRC	33
CHEST AP CENTRAL LINE PL PORTABLE	CR, nan	IDC,TCIA,MIDRC	33
Thorax^ROUTINE_CHEST_WO (Adult)	CT	MIDRC	33
XR LEFT FOOT 3+ VIEWS	CR, DX	MIDRC	32
PET^02_CBM_Wholebody_Only (Adult)	CT, SEG, PT, nan	IDC,TCIA	32
CT Thorax w/Contrast	SEG, nan	IDC,TCIA	32
PET^08_Wholebody_Only (Adult)	CT, SEG, PT, nan	IDC,TCIA	32
XR CERVICAL SPINE 2-3 VIEWS	CR, DX	MIDRC	32
PET^CCF_WholeBody_PETCT (Adult)	CT, SEG, PT, nan	IDC,TCIA	32
Outside Read or Comparison BODY CT	CT, SEG, nan	IDC,TCIA	32
CT C	CT, nan	IDC,TCIA	32
PCAMPMRI	SEG, nan	IDC,TCIA	32
MAMMO SCREENING TOMOSYNTHESIS - BILATERAL TOMO CC	MG	ACRdart,IDC	31
Screening Mammogram Bilateral W Tomo	MG	ACRdart,IDC	31
MRI LUMBAR SPINE W/O CONTRAST	MR	MIDRC	31
<NONE>	CR, DX, MR	MIDRC	31
BR DBT Screening Mammography-Digital	MG	ACRdart,IDC	31
PET/CT NSCLC RESTAGING	SEG, nan	IDC,TCIA	30
CT Chest with	CT, nan	IDC,TCIA	30
BR MRI BREAST, BILATERAL W/O-W CONTRAST	MR	ACRdart,IDC	30
CT ANGIO CHEST W&W/O C	CT, SEG, nan	IDC,TCIA	30
K9 BRAIN	MR, nan	IDC,TCIA	30
BREAST^ROUTINE_DYNAMICS	MR, SEG, nan	IDC,TCIA	30
CT ABDOMEN/PELVIS WITHOUT CONTRAST	CT	MIDRC	30
HEAD^SMALL ANIMAL	MR, nan	IDC,TCIA	30
BILAT/ATTN LEFT	MR, nan	IDC,TCIA	30
MRI Abdomen	MR, nan	IDC,TCIA	30
MR BREAST WO/W CONT	MR, SEG, nan	IDC,TCIA	30
F-18 FDG PETWhole Bod	SEG, PT, nan	IDC,TCIA	30
PT CT WHOLE BODY-BODY	SEG, PT, nan	IDC,TCIA	30
*MRI - ABDOMEN	MR, nan	IDC,TCIA	30
F-18 FDG PET(Whole Bod	CT, SEG, PT, nan	IDC,TCIA	30
Lung	SEG, PT, nan	IDC,TCIA	30
Abdomen^1WBPETCT	SEG, PT, nan	IDC,TCIA	30
CONTRABREAST (RIGHT)	MR, nan	IDC,TCIA	30
^BRAIN RESEARCH	MR, SEG, nan	IDC,TCIA	30
DPCXR	DX	MIDRC	29
XR RIGHT FOOT 3+ VIEWS	CR, DX	MIDRC	29
AS AI	CT, nan	IDC,TCIA	29
BREAST^LESION EVALUATION	MR	ACRdart,IDC	29
Thorax^CHEST_WITH_GR (Adult)	CT	MIDRC	29
CT THORAX W/DYE	SEG, nan	IDC,TCIA	29
ECOG-ACRIN^ECOG-ACRIN	MR	ACRdart,IDC	29
BR MRI BREAST BILATERAL WITH CONTRAST FULL PROTOCOL	MR	ACRdart,IDC	29
PET/CT Sk-Th	CT, SEG, nan	IDC,TCIA	28
MR ABDOMEN W/WO CONTRAST	MR, SEG, nan	IDC,TCIA	28
*CT Chest,Abdomen,Pelv	CT, nan	IDC,TCIA	28
BRAIN BRAIN	MR, SEG, nan	IDC,TCIA	28
BRAIN	MR, nan	IDC,TCIA	28
BREAST^GENERAL	MR, SEG, nan	IDC,TCIA	28
CT CHEST W/O CONT-DESC	SEG, nan	IDC,TCIA	28
CT Chest Reference Only	CT, SEG, nan	IDC,TCIA	28
RM CHEST 1 VIEW PORTABLE	DX	MIDRC	28
CT NON-INFUSED CHEST	SEG, nan	IDC,TCIA	28
CT ABDOMEN NONENH & ENHANCED=AB	RTSTRUCT, nan	IDC,TCIA	28
PET/CT SKULL BASE TO M	CT, SEG, PT, nan	IDC,TCIA	28
Abdomen^01_WB_PETCT	SEG, nan	IDC,TCIA	28
BREAST W/WO	MR, nan	IDC,TCIA	28
XR LUMBAR SPINE 2-3 VIEWS	CR, DX	MIDRC	28
Abdomen^1 AP ROUTINE	CT, nan	IDC,TCIA	28
_t3of3  MRI IAMS	MR, nan	IDC,TCIA	28
CT ANGIOGRAPHY NECK	CT	MIDRC	27
CT Angio Chest	CT	MIDRC	27
Head^HEAD_ROUTINE (Adult)	CT	MIDRC	27
MAMMO 3D TOMO SCREENING BILATERAL	MG	ACRdart,IDC	27
Abdomen^1_ROUTINE_CAP_WO (Adult)	CT	MIDRC	27
MAMMO SCREENING BILATERAL TOMOSYNTHESIS	MG	ACRdart,IDC	27
HIGH RES CHEST(Adult)	CT	MIDRC	27
Vascular^CTA_PE_GR (Adult)	CT	MIDRC	27
Study De-Identified for Patient Confidentiality	US, CT, nan	ACRdart,TCIA,IDC	27
XR LEFT SHOULDER 2+ VIEWS	CR, DX	MIDRC	27
MAMMO SCREEN BILAT/TOMO/CAD	MG	ACRdart,IDC	26
abdomen_pelvis__w_and_wo	SEG, nan	IDC,TCIA	26
CT THORAX W/O CONTRAST	CT, SEG, nan	IDC,TCIA	26
BRAIN^HEAD	MR, SEG, nan	IDC,TCIA	26
MR HEAD W AND WO IV CONTRAST FOLLOWUP WITH PERFUSION PERMEABILIT	MR, SEG, nan	IDC,TCIA	26
CT COLONOGRAPHY	CT, nan	IDC,TCIA	26
CT BRAIN WITHOUT CONTRAST	CT	MIDRC	26
CT SCREENING VIRT COLONOSCOPY	CT, nan	IDC,TCIA	26
PET/CT LUNG CA	SEG, nan	IDC,TCIA	26
MRI BREAST RESEARCH BILAT WO/W CONTRAST	MR	ACRdart,IDC	26
PROSTATE	CT, MR, nan	IDC,TCIA	26
PET^NEW_03_CBM_Wholebody_First_Head (Adult)	CT, SEG, nan	IDC,TCIA	26
CT Rad Onc Lmtd.	CT, nan	IDC,TCIA	26
XRAY-MAMMOGRAM SCREENING TOMO	MG	ACRdart,IDC	25
CT ANGIO CHEST (NON-CO	SEG, nan	IDC,TCIA	25
XR RIGHT ANKLE 3+ VIEWS	CR, DX	MIDRC	25
MRI RESEARCH GRANT	MR, SEG	IDC	25
MR prostaat kanker detectie ND_mc MCAPRODETN	MR, SEG, nan	IDC,TCIA	24
CTA CHEST PULMONARY AN	CT	MIDRC	24
MRI^BREAST	MR	ACRdart,IDC	24
CT ANGIO ABD WITH PEL	SEG, nan	IDC,TCIA	24
Abdomen^01_AP_Routine (Adult)	CT, nan	IDC,TCIA	24
CT CHEST CONTRAST	CT, nan	IDC,TCIA	24
Thorax^02_CAP_Routine (Adult)	CT, nan	IDC,TCIA	24
CT ABDOMEN w	CT, SEG, nan	IDC,TCIA	24
PET^07_PThead_lung (Adult)	CT, nan	IDC,TCIA	24
CTA CHEST PULMONARY EMBOLUS W/IVCON	CT	MIDRC	24
SCREENING MAMMOGRAM WITH TOMOSYNTHESIS	MG	ACRdart,IDC	24
CHEST 1 VIEW (INCLUDING PORTABLE)	CR	MIDRC	24
CT Chest with contrast	CT, nan	IDC,TCIA	24
Abdomen^DE_ROUTINE_AP_WITH_OVER_50_Customized (Adult)	CT	MIDRC	24
MAMMOGRAM DIGITAL SCREENING BILATERAL W/TOMO	MG	ACRdart,IDC	24
Chest CT routine	CT, nan	IDC,TCIA	24
ABDOMEN	CT, MR, nan	IDC,TCIA	24
CT COLONOSCOPY	CT, nan	IDC,TCIA	24
Thorax^ROUTINE_CHEST_ABD_PELVIS_W (Adult)	CT	MIDRC	24
CT CHEST W/ CONT	CT, SEG, nan	IDC,TCIA	24
BREAST^ROUTINE CA	MR, SEG, nan	IDC,TCIA	24
MAMMO DIAGNOSTIC BREAST TOMOSYNTHESIS BILATERAL	MG, nan	IDC,TCIA	24
Thorax^C_A_P_WITH_GR (Adult)	CT	MIDRC	23
Thorax^FLASH_CHEST_WITH_ (Adult)	CT	MIDRC	23
Abdomen^ABD_WITH_GR (Adult)	CT	MIDRC	23
MRI BREAST BILAT CAD WWO	MR, nan	ACRdart,TCIA,IDC	23
LEFT BREAST	MR, SEG, nan	IDC,TCIA	23
Thorax^CHEST_ABD_PELVIS_W (Adult)	CT	MIDRC	23
CT CHEST PE WITH CONTRAST	CT	MIDRC	23
DX CXR 1 View-Post Procedure	CR, DX	MIDRC	23
MRI Breast w/ + w/o Contrast Bil Abbrev	MR	ACRdart,IDC	23
PELVIS	RTSTRUCT, CT, nan	IDC,TCIA	22
CHEST PA - LAT	CR, DX, nan	IDC,TCIA	22
Chest 1V	CR	MIDRC	22
CHEST PE(Adult)	CT	MIDRC	22
BREAST^ECOG-ACRIN	MR	ACRdart,IDC	22
Abdomen^2_ROUTINE_AP (Adult)	CT	MIDRC	22
ABDOMEN 1 VIEW	CR, DX	MIDRC	22
CH+C	SEG, nan	IDC,TCIA	22
WI-MR BREAST BILAT W+WO	MR	IDC	22
MR BRAIN WITH AND WITHOUT CONTRAST	MR	MIDRC	22
CONTRABREAST (LEFT)	MR, nan	IDC,TCIA	22
Vascular^DISSECTION_CTA_CAP (Adult)	CT	MIDRC	22
XR LEFT HAND 3+ VIEWS	CR, DX	MIDRC	22
CT ABD PELV EN	CT, nan	IDC,TCIA	22
BILAT/ATTN RIGHT	MR, nan	IDC,TCIA	22
MR SPINE LUMBAR WO CONTRAST	MR	MIDRC	22
CT CHEST ABD PELVIS W/ CONTR	CT, nan	IDC,TCIA	22
PROTOCOLS^BREAST	MR, nan	IDC,TCIA	22
Outside Read or Comparison MRI	MR, nan	IDC,TCIA	22
CT ABDOMEN WITH CONTRA	CT, SEG, nan	IDC,TCIA	22
Abdomen^CT_UROGRAM_STONE_STUDY (Adult)	CT	MIDRC	22
CT UROGRAM	CT, nan	IDC,TCIA,MIDRC	22
PET CT SKULL BASE TO MID-THIGH	CT, PT, nan	IDC,TCIA	22
CT ABDOMEN/PELVIS W IV CONTRAST	RTSTRUCT, CT, nan	IDC,TCIA,MIDRC	22
LUNG DELAYS	SEG, nan	IDC,TCIA	22
TX AS AI	CT, nan	IDC,TCIA	22
MRI CLINICAL SPECTROSCOPY - MRSPC	MR, SEG, nan	IDC,TCIA	22
CAP_WITH(Adult)	CT	MIDRC	22
PETCT_WholeBody	CT, PT, nan	IDC,TCIA	22
SL2 Treatment:Tx Plan	CT, nan	IDC,TCIA	22
_t2of3  MRI IAMS	MR, nan	IDC,TCIA	22
XR RIGHT SHOULDER 2+ VIEWS	CR, DX	MIDRC	21
X-RAY SHOULDER COMPLETE MIN 2 VIEWS - RIGHT	DX	MIDRC	21
XR RIGHT KNEE 3 VIEWS (PAIN/ARTHRITIS)	CR, CR,DX, DX	MIDRC	21
CT ABDOMEN AND PELVIS W/O CONTRAST	CT	MIDRC	21
MAMMO SCREEN BILAT+TOMO	MG	ACRdart,IDC	21
XR LEFT KNEE 3 VIEWS (PAIN/ARTHRITIS)	CR, DX	MIDRC	21
X-RAY KNEE 3 VIEWS - RIGHT	DX	MIDRC	21
CAP	CT, SEG, nan	IDC,TCIA,MIDRC	21
Abdomen^2_ROUTINE_AP_WO (Adult)	CT	MIDRC	21
CT CHEST REFERENCE ONLY	CT, nan	IDC,TCIA,AIMI	21
NMPET/CT trunk	CT, PT, nan	IDC,TCIA	20
Abd	US, nan	IDC,TCIA	20
CT CHEST   W/CONTRAST	CT, nan	IDC,TCIA	20
Abdomen^ABDOMEN (Adult)	CT, SEG, nan	IDC,TCIA	20
BRAIN^FUNCTIONAL	MR, SEG, nan	IDC,TCIA	20
CT CHEST W IV CON	CT	MIDRC	20
CT C-SPINE W/O CONTRAST	CT	MIDRC	20
CT Dynamic Chest Routi	CT, nan	IDC,TCIA	20
CT PULMONARY W/CONTRAST	CT	MIDRC	20
XR RIGHT KNEE 1-2 VIEWS	CR, DX	MIDRC	20
CT chest upper low abdomen and pelvic+c	CT, nan	IDC,TCIA	20
XR LEFT WRIST 3+ VIEWS	CR, DX	MIDRC	20
PETCT SKULL-THIGH	SEG, PT, nan	IDC,TCIA	20
DG CHEST 1V PORT	CR	MIDRC	20
TomoHD Screening	MG	ACRdart,IDC	20
LT BREAST	MR, nan	IDC,TCIA	20
MM Mammogram Screening Digital DDI	MG	ACRdart,IDC	20
BREAST^ACRIN RESEARCH	MR	ACRdart,IDC	20
BREAST ROUTINE	MR, SEG, nan	IDC,TCIA	20
CT ABD PELVIS W/ CONTRAST	OT, CT, nan	IDC,TCIA	20
PET^02_Wholebody_Only (Adult)	CT, SEG, PT, nan	IDC,TCIA	20
MR BREAST UNI U	MR, SEG, nan	IDC,TCIA	20
Abdomen^ROUTINE_ABD_PEL_WITH (Adult)	CT	MIDRC	20
RT BREAST	MR, nan	IDC,TCIA	20
MR PELVIS WO+W CONTRAST	nan	TCIA	20
PETCT Skull-MidThigh	CT, PT, nan	IDC,TCIA	20
MR HEAD W AND WO IV CONTRAST TUMOR NAVIGATION	MR, SEG, nan	IDC,TCIA	20
RESSONANCIA MAGNETICA DE PELVE	MR, nan	IDC,TCIA	20
Thorax^FLASH_CAP_WITH (Adult)	CT	MIDRC	19
CT CHEST PULMONARY ANGIOGRAM (ACUTE)	CT	MIDRC	19
CT P CHEST ABDOMEN PELVIS W	CT	MIDRC	19
CT CHEST WO CONTRAST (LOW DOSE FOR NODULE FOLLOW UP)	CT	MIDRC	19
CT CHEST WITHOUT CONTR	RTSTRUCT, CT, SEG, nan	IDC,TCIA,MIDRC	19
breast^general	MR, nan	ACRdart,TCIA,IDC	19
Abdomen^ROUTINE_AP_WO_Customized (Adult)	CT	MIDRC	19
CTA CHEST FOR PE	CT	MIDRC	19
RIGHT BREAST	MR, nan	IDC,TCIA	19
NM_WholeBody	NM, nan	IDC,TCIA	19
PET LYMPHOMA NON HODGKINS (W/LOW DOSE CT)	PT,CT	MIDRC	19
Thorax^ROUTINE_CHEST_WITH (Adult)	CT	MIDRC	19
Thorax^PE_STUDY (Adult)	CT	MIDRC	19
CT CT-Thorax for Pulmonary Embolism W/Cont	CT	MIDRC	19
CT COLONOGRAP C	CT, nan	IDC,TCIA	18
NPETSB	CT, SEG, nan	IDC,TCIA	18
CT CHEST LUNG CANCER SCREENING WITHOUT CONTRAST ANNUAL	CT	MIDRC	18
CT CHEST BIOPSY	CT	MIDRC	18
Abdomen^14_Supine_and_Prone_Colon (Adult)	CT, nan	IDC,TCIA	18
CT CHEST ABDOMEN W CONTRAST (ROUTINE)	CT	MIDRC	18
CT CHEST ABDOMEN PELVIS W WO CONTRAST	CT, SEG, nan	IDC,TCIA,MIDRC	18
CT CHEST w	CT, nan	IDC,TCIA	18
CT CH/AB/PEL WITH LIVER TRIPHASIC	SEG, nan	IDC,TCIA	18
BR-Breast US BI	US	ACRdart	18
CT HIP W/O CONTRAST,BILAT	CT, nan	IDC,TCIA	18
CT ABDOMEN W/O CONT	CT, nan	IDC,TCIA	18
CT PET with registered MR	RTSTRUCT, CT, PT, MR, nan	IDC,TCIA	18
MRI PELVIS W WO CONTRAST	SEG	IDC	18
CT THORAX ENHANCED	CT, nan	IDC,TCIA	18
MRI_Abdomen	MR, nan	IDC,TCIA	18
CTA CHEST W CONTRAST	CT	MIDRC	18
CHEST_WITH(Adult)	CT	MIDRC	18
CHEST/ABD/PELVIS	CT, SEG, nan	IDC,TCIA	18
Abdomen CT Enhanced	CT, nan	IDC,TCIA	18
FOREIGN CD CT AB/PEL	CT, nan	IDC,TCIA	18
CHEST CT	CT, nan	IDC,TCIA	18
MR Breast Bilateral	MR	ACRdart,IDC	18
MR BREAST LT W/WO	MR, nan	IDC,TCIA	18
CT THORAX  WITHOUT CON	CT, SEG, nan	IDC,TCIA	18
with DCE	MR, nan	IDC,TCIA	18
Spontaneous Brain Tumor Model	MR, nan	IDC,TCIA	18
*MRI - BREAST	MR, nan	IDC,TCIA	18
Pancreas CT Enhanced	CT, nan	IDC,TCIA	18
PET IMAGE W/CT SKULL-T	SEG, nan	IDC,TCIA	18
Pio Xll001^Pelve	MR, nan	IDC,TCIA	18
PET CT SKULL BASE TO MID THIGH	CT, SEG, nan	IDC,TCIA	18
PET CT Clinical Body Reference Only	CT, SEG, PT, nan	IDC,TCIA	18
Standard Screening -  COMBO HD	MG	ACRdart,IDC	17
MRI BREAST BILATERAL WITH T WITHOUT CONTRAST	nan	TCIA	17
IR CT CHEST TUBE	CT	MIDRC	17
XR RIGHT WRIST 3+ VIEWS	CR, DX	MIDRC	17
Head^head_wo_GR (Adult)	CT	MIDRC	17
Head^HEAD_WO (Adult)	CT	MIDRC	17
MR BREAST BILAT W OR WO SCCA	MR, SEG	IDC	17
CTA CHEST AND ABDOMEN (THORACOABDOMNAL DISSECTION) WWO CONTRAST	CT	MIDRC	17
MR BRST BI BIRAD W WO CNTRST	MR	ACRdart,IDC	17
CT C/A/P	CT, SEG, nan	IDC,TCIA	16
Abdomen^DUO_TX_AS_VOL (Adult)	CT, nan	IDC,TCIA	16
KUB (RAD)-CS	CR, DX	MIDRC	16
CT ANGIO ABDOMEN W & W/O CONT	SEG, nan	IDC,TCIA	16
MR SPECTROSCOPY	MR, SEG, nan	IDC,TCIA,MIDRC	16
CT Chest, Abdomen + Pelvis	CT, SEG, nan	IDC,TCIA	16
Ribs L	CR	MIDRC	16
CT Chest Pre OP (Post Contrast)	CT, nan	IDC,TCIA	16
MRI_LSpine	MR, nan	IDC,TCIA	16
XR LEFT ANKLE 3+ VIEWS	CR, DX	MIDRC	16
CT ANGIOGRAM PULMONARY W CONTRAST	CT	MIDRC	16
CTA CHEST (THORACIC DISSECTION) WWO CONTRAST	CT	MIDRC	16
Abdomen^CT_AP_WO (Adult)	CT	MIDRC	16
PET^NEW_02_CBM_Wholebody_Only (Adult)	CT, SEG, PT, nan	IDC,TCIA	16
MRI BREAST BILATERAL WITH AND WITHOUT CONTRAST	MR, SEG, nan	IDC,TCIA	16
MRI BREAST BILATERAL WO THEN W CONTRAST	MR	ACRdart,IDC	16
MRI Pelvis with contrast	MR, nan	IDC,TCIA	16
Cardiac^LA_MODEL (Adult)	CT	MIDRC	16
MRI Pelvis W/WO Contrast=A	REG, RTSTRUCT, MR, nan	IDC,TCIA	16
Abdomen^01Abdomen_Routine (Adult)	CT, nan	IDC,TCIA	16
X-RAY KNEE 3 VIEWS - LEFT	CR, DX	MIDRC	16
PET/CT LUNG NODULE	SEG, nan	IDC,TCIA	16
Head^DE_CTA_HEAD_NECK (Adult)	CT	MIDRC	16
CT CHEST W/ CONTRAST	CT, SEG, nan	IDC,TCIA	16
CT CAP (LIV)	CT, SEG, nan	IDC,TCIA	16
BIOPSY	MR, nan	IDC,TCIA	16
MR PELVIS OUTSIDE IMAGING	SEG, nan	IDC,TCIA	16
MAMMO SCREENING BILATERAL TOMOSYNTHESIS (BILATERAL DIAGNOSTIC AN	MG	ACRdart	16
CT ABDOMEN wo&w	CT, nan	IDC,TCIA	16
*CT ABDOMEN	CT, SEG, nan	IDC,TCIA	16
MR BRAIN WO+W CONTRAST	MR, nan	IDC,TCIA	16
BREAST 2017^BREAST LESION 2017	MR	ACRdart	16
CT ABDOMEN W CO	CT, nan	IDC,TCIA	16
C+C	SEG, nan	IDC,TCIA	16
two_phase__abdomen	SEG, nan	IDC,TCIA	16
X-RAY BONE OUTSIDE IMAGE	CR, DX	MIDRC	16
_t1of3External Images for PACS	MR, nan	IDC,TCIA	16
MR ABD IMAGE IMPORT	MR, nan	IDC,TCIA	16
MG Tomosynthesis Breast Screening Bilateral	MG	ACRdart,IDC	16
Thorax^CT_CAP_WITHOUT (Adult)	CT	MIDRC	16
Breast^Bil tumor ax	MR, nan	IDC,TCIA	16
CT THORAX W/CONT	CT, SEG, nan	IDC,TCIA	16
OSI CT CHEST ABDOMEN PELVIS	CT, SEG, nan	IDC,TCIA	16
CT ABDOMEN NONENH & ENHANCED-BODY	RTSTRUCT, CT, SEG, nan	IDC,TCIA	16
MR ABBREVIATED BREAST	MR	ACRdart,IDC	16
CT CHEST PELVIS W ABDOMEN WWO	CT, nan	IDC,TCIA,MIDRC	15
BRST TOMOSYNTHESIS BILAT	MG	ACRdart,IDC	15
Head^Perfusion (Adult)	CT	MIDRC	15
CT CHEST WITH CONTRAST (PETCT)	CT	MIDRC	15
THORAX PE + LOW DOSE	CT, nan	IDC,TCIA,MIDRC	15
CT CHEST W/CON	SEG, nan	IDC,TCIA	15
MR	MR	ACRdart,IDC	15
CT CHEST LOW DOSE SCREENING	CT	MIDRC	15
CT CHEST ABDOMEN PELVIS W IV CON	CT	MIDRC	15
MR Breast Bilat WWO Contrast	MR	ACRdart,IDC	15
Abdomen^STONE (Adult)	CT	MIDRC	15
MRIBB3	MR	ACRdart,IDC	15
PROSTATE/EMPTYAKL	nan	TCIA	15
MAMM SCR TOMO ECOG ACRIN CLINICAL RSRCH	MG	ACRdart,IDC	15
CT ESOPHAGRAM	CT	MIDRC	15
PENN IMAGE EXCHANGE IMPORT	CR, DX	MIDRC	15
BREAST (S) US UNIL-BILAT MAMMO	US	ACRdart	15
PET CT FDG IMAG SKULL TO THIGH	OT, CT, PT, OT,PT, nan	IDC,TCIA,MIDRC	15
CT LUNG CANCER SCREENING	CT	MIDRC,AIMI	15
CT Chest W/O Contrast	CT, nan	IDC,TCIA,MIDRC	14
MR LUMBAR SPINE WITHOUT CONTRAST	MR	MIDRC	14
MR HEAD W IV CONTRAST	MR, SEG, nan	IDC,TCIA	14
CT THORAX W/O CONT	SEG, nan	IDC,TCIA	14
PET/CT NSCLC Restaging	SEG, nan	IDC,TCIA	14
XR THORACIC SPINE 2 VIEWS	CR, DX	MIDRC	14
RT BREAST STUDY	MR, nan	IDC,TCIA	14
PET/CT Body Reference Only	SEG, PT, nan	IDC,TCIA	14
MRI CERVICAL SPINE W/O CONTRAST	MR	MIDRC	14
CT CHEST W/CONT	SEG, nan	IDC,TCIA	14
BI BREAST SCREENING BILATERAL WITH TOMOSYNTHESIS	MG	ACRdart,IDC	14
PET Reference Only	SEG, nan	IDC,TCIA	14
CT ABDOMEN/PELVIS WO IV CONTRAST	CT	MIDRC	14
Thorax^2 CAP ROUTINE	CT, nan	IDC,TCIA	14
MR NONE HEAD W AND WO IV CONTRAST	MR, SEG, nan	IDC,TCIA	14
Chest  3D IMR	CT, nan	IDC,TCIA	14
CT KIDNEY PROTOCOL W/ CH/PEL	CT, SEG, nan	IDC,TCIA	14
PET^CCF_WholeBody_PETCT_CAP (Adult)	CT, SEG, nan	IDC,TCIA	14
CTA TRAUMA THORACIC AORTA W/O & W/ IV CONTRAST	CT	MIDRC	14
CT PE PROTOCOL	CT	MIDRC	14
XR RIGHT HAND 3+ VIEWS	CR, DX	MIDRC	14
MR BREAST BILATERAL WITHOUT AND WITH IV CONTRAST	MR	ACRdart,IDC	14
MRI BREAST BILAT WWO	MR, nan	ACRdart,TCIA,IDC	14
Abdomen^BrzuchMiednica_ (Adult)	RTSTRUCT, CT, nan	IDC,TCIA	14
MRI BREAST BILATERAL EXAM	MR	ACRdart,IDC	14
MRI BREAST UNI 2ND EXA	MR, nan	IDC,TCIA	14
CT Chest, Abdomen + Pe	CT, SEG, nan	IDC,TCIA	14
4DCT THORAX	RTSTRUCT, CT	IDC	14
PETCT_SkullMidThigh	CT, nan	IDC,TCIA	14
CT THORAX WITH	CT, nan	IDC,TCIA	14
CARDIAC OP	CT	MIDRC	14
CT Chest routine	CT, nan	IDC,TCIA	14
chest_abdomen_pelvis__w	SEG, nan	IDC,TCIA	14
MR BREAST UNILAT	MR, SEG	IDC	14
Mammo-Digital Screening BILAT w/ Tomosynthesis	MG	ACRdart,IDC	14
CT CHEST AND UPPER ABD WO	CT	MIDRC	14
CT CARDIAC CTA CORONARY W CAL	CT, nan	IDC,TCIA	14
MR_LT BREAST	MR, nan	IDC,TCIA	14
MRI PELVIS WO/W CONTRAST	MR, nan	IDC,TCIA	14
HEAD^BRAIN	MR, SEG, nan	IDC,TCIA,MIDRC	14
FOREIGN CT AB/PEL	CT, nan	IDC,TCIA	14
MRI PELVIS W+WO CONT	MR, nan	IDC,TCIA	14
ABD W/&W/O CONT	MR, nan	IDC,TCIA	14
X-RAY CERVICAL SPINE 2 OR 3 VIEWS	CR, DX	MIDRC	14
MRI Prostate With and Without Contrast	MR, nan	IDC,TCIA	14
fubu	CT, nan	IDC,TCIA	14
two_phase__abdomen_pelvis	SEG, nan	IDC,TCIA	14
X-RAY FOOT COMPLETE MINIMUM 3 VIEWS - RIGHT	CR, DX	MIDRC	13
Head^CODE_STROKE (Adult)	CT	MIDRC	13
X-RAY KNEE 1 OR 2 VIEWS - RIGHT	CR, CR,DX, DX	MIDRC	13
MRIBB3/4054	MR	ACRdart,IDC	13
ACUTE ABDOMINAL SERIES	CR, DX	MIDRC	13
X-RAY SHOULDER COMPLETE MIN 2 VIEWS - LEFT	CR, DX	MIDRC	13
CT CHEST ANGIOGRAM WITH IV CONTRAST	CT	MIDRC	13
PELVIS 1 OR 2 VIEWS	CR, DX	MIDRC	13
Mammography Tomography Screening	MG	ACRdart,IDC	13
CCTA HEART W CONTRAST+CT CHEST WO CONTRST-CT SURGERY	CT	MIDRC	13
FL PHARYNX/SWALLOWING EVAL WITH FLUORO	XA, RF	MIDRC	13
Thorax^CHEST_WITHOUT_Customized (Adult)	CT	MIDRC	13
BREAST SCREENING-BILATERAL WITH CAD	MG	ACRdart	13
Abdomen^ABDOME_2_FASESVOL (Adult)	CT, nan	IDC,TCIA	13
MR ABD, OUTSIDE IMAGING	SEG, nan	IDC,TCIA	13
